GCB_Fortinet_Fortigate_03,00000217:config system interface,00001364:edit "port6",00001375:set broadcast-forward disable,正確設定
GCB_Fortinet_Fortigate_03,00000217:config system interface,00001444:edit "port7",00001455:set broadcast-forward disable,正確設定
GCB_Fortinet_Fortigate_03,00000217:config system interface,00001524:edit "port8",00001535:set broadcast-forward disable,正確設定
GCB_Fortinet_Fortigate_03,00000217:config system interface,00001604:edit "port9",00001615:set broadcast-forward disable,正確設定
GCB_Fortinet_Fortigate_03,00000217:config system interface,00001684:edit "port10",00001695:set broadcast-forward disable,正確設定
GCB_Fortinet_Fortigate_03,00000217:config system interface,00001764:edit "port11",00001775:set broadcast-forward disable,正確設定
GCB_Fortinet_Fortigate_03,00000217:config system interface,00001844:edit "port12",00001855:set broadcast-forward disable,正確設定
GCB_Fortinet_Fortigate_03,00000217:config system interface,00001924:edit "port13",00001935:set broadcast-forward disable,正確設定
GCB_Fortinet_Fortigate_03,00000217:config system interface,00002004:edit "port14",00002015:set broadcast-forward disable,正確設定
GCB_Fortinet_Fortigate_03,00000217:config system interface,00002084:edit "port15",00002095:set broadcast-forward disable,正確設定
GCB_Fortinet_Fortigate_03,00000217:config system interface,00002164:edit "lan",00002174:set broadcast-forward disable,正確設定
GCB_Fortinet_Fortigate_03,00000217:config system interface,00002241:edit "TEST",00002249:set broadcast-forward disable,正確設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00000218:edit "wan1",00000296:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00000298:edit "dmz",00000377:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00000379:edit "modem",00000442:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00000627:edit "wan2",00000705:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00000707:edit "mgmt",00000802:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00000804:edit "ha1",00000882:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00000884:edit "ha2",00000962:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00000964:edit "port1",00001042:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00001044:edit "port2",00001122:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00001124:edit "port3",00001202:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00001204:edit "port4",00001282:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00001284:edit "port5",00001362:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00001364:edit "port6",00001442:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00001444:edit "port7",00001522:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00001524:edit "port8",00001602:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00001604:edit "port9",00001682:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00001684:edit "port10",00001762:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00001764:edit "port11",00001842:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00001844:edit "port12",00001922:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00001924:edit "port13",00002002:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00002004:edit "port14",00002082:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00002084:edit "port15",00002162:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_04,00000217:config system interface,00002164:edit "lan",00002239:set drop-fragment disable,錯誤設定
GCB_Fortinet_Fortigate_05,尚未設定
